Tag,Policy.Number,Age,Years.of.Driving.Experience,Number.of.Vehicles,Gender,Married,Vehicle.Age,Fuel.Type,Losses
125,135252,52,35,1,M,Married,15,P,268.5415695
126,145276,36,16,1,M,Married,0,P,429.8250505
127,157539,37,16,1,F,Single,13,P,217.9595747
128,178158,61,40,1,F,Married,9,P,287.7680412
129,153763,29,11,1,F,Married,0,P,387.1689797
130,184637,21,2,1,F,Single,15,P,233.2261935
131,129471,22,4,1,F,Married,15,P,296.220441
132,172740,31,13,1,F,Single,9,P,381.6263384
133,170777,60,42,1,M,Single,0,P,97.82479138
134,140244,44,25,1,F,Single,3,P,427.346936
135,149411,16,0,1,M,Single,13,D,534.6193671
136,155380,18,1,1,F,Married,15,P,322.9551348
137,128261,66,47,1,M,Married,5,P,313.1380724
138,103771,70,52,1,F,Married,12,P,28.52569444
139,179862,19,0,1,M,Married,11,P,413.9661157
140,156172,49,30,1,M,Single,9,P,396.5517713
141,160283,18,0,1,M,Single,12,D,550.0535565
142,181059,24,5,1,F,Single,2,D,768.3369443
143,125059,66,46,1,F,Single,4,P,430.2457695
144,196280,70,49,1,F,Single,13,P,57.96961012
145,108827,25,7,1,F,Single,7,P,422.6834837
146,111501,26,8,1,M,Single,15,P,298.8722661
147,192032,23,6,1,M,Single,12,P,376.1669213
148,196073,35,18,1,F,Single,9,P,428.8765231
149,172196,25,6,1,M,Single,12,D,619.623702
150,171179,65,46,1,F,Single,6,P,357.0767817
151,108405,70,50,1,F,Single,14,P,36.73113056
152,110555,26,5,1,M,Single,2,D,513.9091147
153,140775,43,22,1,M,Single,8,P,383.0935474
154,184678,18,1,1,M,Married,10,D,775.5602497
155,190636,39,18,1,M,Single,5,D,688.1633261
156,137629,20,2,1,M,Married,13,P,250.0483034
157,141654,34,13,1,F,Married,12,P,151.2591629
158,174549,69,50,1,F,Single,7,P,96.57177764
159,101976,70,53,1,F,Single,10,P,156.106545
160,125588,25,7,1,M,Single,7,D,1036.422302
161,110830,22,5,1,F,Single,10,P,465.6053779
162,101453,57,38,1,F,Married,4,D,596.5321778
163,196143,51,31,1,M,Married,0,D,514.6965606
164,146751,19,0,1,F,Married,12,D,540.6418989
165,122609,64,45,1,F,Married,4,P,35.48597259
166,128464,62,42,1,F,Single,10,P,92.7900941
167,133656,22,5,1,M,Single,14,D,655.1327292
168,107370,46,27,1,M,Single,3,D,771.279313
169,169611,56,36,1,M,Single,7,D,555.0751738
170,164381,19,2,1,M,Married,12,P,289.320228
171,101325,25,8,1,F,Married,15,P,319.7637959
172,187545,61,42,1,F,Single,8,P,380.0193648
173,140733,35,17,1,M,Single,10,P,402.9137936
174,163180,64,46,1,M,Single,7,P,217.1632874
175,165026,41,22,1,F,Single,13,P,275.294995
176,103182,66,46,1,M,Single,1,D,796.0709274
177,106285,62,43,1,M,Single,6,P,56.27149032
178,109813,46,28,1,F,Single,5,D,713.2035955
179,100018,29,10,1,M,Married,12,P,140.7946555
180,135733,65,44,1,M,Single,14,P,290.7360244
181,129730,60,39,1,M,Married,1,P,203.0429805
182,103606,41,22,1,M,Married,4,D,516.9890908
183,128663,46,26,1,F,Married,12,P,202.4587138
184,126842,41,24,1,F,Single,10,P,428.4593856
185,159663,24,6,1,F,Single,11,D,516.0790928
186,121046,62,42,1,F,Married,14,P,256.9014828
187,127128,36,15,1,F,Married,2,P,376.2971849
188,159668,24,6,1,M,Single,12,D,1070.204776
189,160863,49,28,1,M,Married,13,P,370.6966267
190,180191,20,3,1,F,Single,14,P,266.0967514
191,152361,52,31,1,F,Married,10,P,311.9191271
192,140469,21,4,1,F,Single,15,P,429.8619791
193,108018,58,39,1,M,Single,0,D,818.0944497
194,112856,36,17,1,F,Married,13,P,320.2940291
195,115581,18,0,1,F,Married,13,P,183.2307779
196,156261,21,3,1,F,Single,14,D,564.7148465
197,110157,60,43,1,F,Married,6,P,110.3300495
198,150327,63,44,1,F,Single,4,P,465.658248
199,177062,64,45,1,M,Single,11,P,172.5265908
200,179628,22,5,1,M,Married,12,P,360.8051782
201,154549,22,3,1,F,Married,1,D,837.3677817
202,174309,26,5,1,F,Married,11,P,128.8692649
203,165949,19,0,1,F,Single,9,P,484.6961144
204,143867,28,9,1,M,Married,2,P,487.8515553
205,115293,24,5,1,M,Married,0,D,989.6964115
206,124781,60,39,1,F,Single,10,P,165.9840948
207,151108,20,2,1,F,Married,11,P,166.5373225
208,134055,43,25,1,M,Married,0,D,692.538638
209,158875,23,4,1,M,Married,14,D,512.8447128
210,199635,48,27,1,M,Married,5,D,628.6211982
211,172931,40,23,1,M,Single,6,P,437.5853059
212,110664,64,44,1,M,Single,10,P,244.1284514
213,123896,23,6,1,M,Married,6,P,479.0179823
214,198927,38,21,1,M,Married,9,P,321.0614316
215,193212,19,0,1,M,Married,7,P,328.3589705
216,110085,62,42,1,M,Married,10,P,387.2442899
217,169347,23,4,1,M,Married,15,P,235.0776441
218,167213,34,13,1,F,Married,2,P,395.6067606
219,189632,64,47,1,M,Single,14,P,65.68992357
220,167717,63,42,1,M,Single,7,P,296.012821
221,160508,28,11,1,F,Married,14,P,159.3673423
222,125668,16,0,1,M,Married,12,P,476.5346165
223,166836,29,11,1,F,Single,0,D,509.0594248
224,154044,17,0,1,F,Married,15,P,351.8847284
225,183078,55,34,1,F,Married,2,D,522.9070466
226,193267,52,31,1,M,Married,10,P,314.1997614
227,112976,30,9,1,M,Single,13,P,200.7912195
228,114690,16,0,1,F,Married,15,P,303.4043979
229,117370,23,5,1,F,Single,6,D,787.7636887
230,135686,70,49,1,F,Married,14,P,99.83090559
231,173662,18,0,1,F,Married,15,P,250.2204478
232,174141,27,7,1,F,Married,1,P,488.6956097
233,117625,47,28,1,M,Married,1,D,561.796776
234,150029,18,1,1,F,Single,12,P,415.4689569
235,149512,19,2,1,F,Single,9,D,777.5951773
236,181260,27,8,1,F,Single,7,P,355.8158451
237,198494,47,28,1,M,Married,13,P,356.572264
238,161421,70,52,1,F,Single,7,P,327.935663
239,178940,53,33,1,F,Married,6,P,300.7818655
240,127336,21,2,1,M,Married,3,D,770.4316087
241,121232,43,23,1,M,Married,0,D,689.2935821
242,178596,65,44,1,F,Married,8,P,151.2848344
243,101155,30,13,1,F,Single,1,D,696.0295489
244,168264,48,30,1,M,Married,12,P,237.0227564
245,180115,16,0,1,F,Married,15,P,310.3054332
246,158172,63,46,1,M,Single,9,P,411.4934109
247,135272,40,22,1,F,Single,2,D,629.444886
248,160525,46,27,1,M,Married,10,P,393.3264183
249,100210,56,35,1,F,Married,5,D,571.9363703
250,111093,19,2,1,F,Married,14,P,282.4138477
251,136861,33,12,1,M,Single,10,P,454.822674
252,199343,57,38,1,F,Single,4,P,478.456794
253,128605,56,36,1,M,Single,14,P,193.0311549
254,164611,25,8,1,M,Married,14,P,409.9010323
255,192220,55,34,1,M,Single,12,D,509.1345942
256,191061,40,20,1,M,Single,8,P,423.7222281
257,151362,46,28,1,F,Single,13,P,344.2283454
258,187738,42,21,1,M,Married,11,P,182.4160381
259,176775,27,8,1,F,Married,15,P,161.1440266
260,159600,46,27,1,M,Married,10,P,355.735993
261,141403,25,8,1,F,Married,15,P,328.8843527
262,171452,42,24,1,M,Married,9,P,324.5803862
263,116796,64,46,1,F,Single,7,P,454.9945793
264,118790,34,14,1,M,Single,2,D,762.0191521
265,159938,64,44,1,F,Single,14,P,289.5307529
266,147703,34,16,1,F,Single,1,P,458.5579608
267,181163,37,20,1,F,Married,14,P,258.8203437
268,168461,21,3,1,M,Single,15,D,586.595506
269,171559,68,50,1,M,Married,0,P,159.269216
270,168785,26,9,1,F,Single,11,P,147.7489935
271,175417,51,34,1,F,Married,8,P,308.8097112
272,140551,69,51,1,F,Single,5,P,254.7680456
273,143561,38,20,1,M,Single,7,D,517.2833796
274,161679,64,45,1,M,Single,0,P,105.4432074
275,187609,62,44,1,F,Married,4,P,39.95489011
276,164350,70,50,1,M,Married,2,P,302.4864881
277,147658,27,9,1,F,Married,6,P,311.3847328
278,196071,24,5,1,M,Married,11,P,335.7048594
279,173780,24,6,1,F,Married,15,P,197.9280454
280,120744,70,50,1,F,Married,5,P,81.55524621
281,152233,46,28,1,F,Single,8,P,408.0924936
282,101429,61,41,1,M,Single,11,P,35.74744486
283,100994,70,53,1,M,Single,12,P,319.9288788
284,133327,51,32,1,F,Single,0,D,590.2667386
285,196564,49,31,1,F,Single,0,D,525.5303261
286,171515,34,13,1,M,Single,5,D,939.0853092
287,115864,25,7,1,M,Married,12,D,554.2015344
288,162203,24,5,1,M,Single,15,P,310.8532989
289,172979,36,15,1,F,Single,4,D,877.9333318
290,142500,20,3,1,F,Single,14,P,156.6693023
291,159595,20,1,1,F,Single,12,D,519.6358893
292,154012,70,53,1,F,Single,8,P,103.2503942
293,133980,22,4,1,M,Married,12,D,546.9662639
294,130073,61,44,1,M,Single,6,P,330.1496076
295,122265,20,2,1,M,Married,14,D,655.2242872
296,141110,21,4,1,M,Married,12,P,479.7951029
297,117962,19,0,1,F,Married,6,D,517.2311218
298,120429,66,49,1,F,Single,0,P,71.76435204
299,138510,63,44,1,M,Single,3,P,131.0544977
300,102952,51,30,1,F,Single,0,D,648.3377527
301,116550,37,17,1,M,Married,12,P,341.0717472
302,189773,16,0,1,M,Married,14,D,511.7329733
303,153902,21,4,1,M,Married,15,P,252.3853189
304,129663,23,6,1,F,Married,15,P,187.9585249
305,198193,63,44,1,F,Single,0,P,153.8388035
306,169076,63,42,1,M,Married,5,P,94.0483353
307,169427,52,32,1,M,Married,13,P,208.3574065
308,166756,30,10,1,M,Married,0,P,396.8456932
309,105539,21,4,1,F,Married,7,P,296.0244249
310,169496,63,46,1,M,Married,2,P,75.81174432
311,200391,45,27,1,F,Married,3,P,448.5662485
312,117445,61,41,1,F,Married,15,P,130.9914388
313,128507,34,16,1,M,Married,11,P,147.2741212
314,190032,16,0,1,F,Single,11,D,640.2131123
315,112590,23,5,1,M,Married,9,P,420.4922713
316,137410,25,7,1,F,Married,15,P,396.1408555
317,186036,16,0,1,M,Married,10,P,478.3520156
318,105765,30,9,1,F,Married,8,P,292.5163921
319,182237,48,29,1,F,Married,5,D,527.9214511
320,110357,17,0,1,F,Married,11,P,246.7103971
321,196401,69,49,1,M,Married,0,P,169.4418198
322,119519,28,9,1,M,Single,9,P,440.4587335
323,196503,29,9,1,F,Married,6,P,289.6606846
324,192607,24,7,1,M,Single,14,D,681.6009788
325,124865,67,48,1,F,Married,0,P,162.021823
326,194944,45,28,1,F,Single,15,P,237.9548251
327,187015,38,19,1,M,Single,2,D,726.0985559
328,165695,50,31,1,M,Single,4,D,728.5124594
329,153893,51,32,1,M,Single,7,P,445.3525652
330,167349,44,23,1,F,Single,9,P,427.1032675
331,140976,52,33,1,M,Married,13,P,264.9045348
332,185143,21,2,1,M,Married,11,P,317.4901628
333,136163,20,1,1,F,Married,11,P,356.4554345
334,125842,70,49,1,M,Single,2,D,639.261733
335,159297,60,40,1,M,Married,13,P,152.0660029
336,100408,33,15,1,M,Married,0,D,598.6892757
337,188214,16,0,1,F,Married,8,P,382.4581608
338,101548,19,2,1,M,Married,6,P,339.775025
339,107666,62,45,1,F,Married,6,P,97.0052298
340,192742,35,17,1,M,Married,12,P,167.8386883
341,127036,16,0,1,F,Single,15,D,622.0789033
342,178574,34,14,1,F,Married,12,P,196.5073839
343,148317,26,8,1,M,Single,7,P,489.774795
344,169827,23,4,1,M,Married,13,P,307.9160669
345,158864,48,31,1,F,Single,4,D,581.3363152
346,149804,33,14,1,F,Married,8,P,324.7471949
347,178723,33,15,1,M,Married,1,D,546.5349024
348,158387,57,40,1,F,Single,7,P,379.2612055
349,197918,61,41,1,F,Married,7,P,122.8351382
350,129981,70,49,1,M,Married,1,P,401.9377187
351,194863,61,40,1,M,Married,10,P,39.06923279
352,182161,24,5,1,M,Married,15,D,604.5968924
353,180475,39,21,1,M,Single,8,P,352.1776675
354,140740,52,32,1,F,Single,14,P,323.3784995
355,169171,25,7,1,M,Married,14,P,180.2839243
356,115611,67,46,1,F,Married,7,P,299.7655866
357,152972,25,6,1,M,Married,11,D,583.9925703
358,152327,56,38,1,F,Single,6,P,484.2868664
359,107571,26,8,1,M,Married,9,P,425.3481104
360,172758,63,43,1,F,Married,13,P,40.93404521
361,126567,62,42,1,F,Single,9,P,127.4005318
362,191861,52,31,1,M,Married,7,P,332.1391406
363,126307,53,35,1,M,Married,9,P,382.1779015
364,101826,34,15,1,M,Married,14,P,201.8179313
365,151310,17,0,1,M,Married,8,P,449.274253
366,196931,17,0,1,F,Married,13,P,479.4391977
367,128634,64,46,1,M,Married,8,P,206.7379713
368,161597,68,51,1,M,Single,6,P,48.10845199
369,109884,18,0,1,M,Married,15,P,333.2548377
370,169116,31,12,1,M,Single,2,D,800.6210897
371,190939,18,1,1,F,Married,14,P,181.7398301
372,185233,67,46,1,F,Married,6,P,207.5631629
373,118109,69,49,1,F,Married,14,P,44.85076261
374,160237,49,30,1,F,Single,7,P,389.6227552
375,177000,22,4,1,M,Married,8,P,456.2160705
376,189028,59,40,1,M,Single,2,D,780.2021419
377,161478,17,0,1,M,Single,13,D,852.9917769
378,188298,62,43,1,M,Married,3,P,298.1251488
379,171213,44,23,1,F,Single,4,D,517.2484855
380,101617,25,6,1,F,Single,14,P,227.3336458
381,125820,54,34,1,M,Married,9,P,395.9018181
382,150893,22,3,1,F,Single,14,P,238.1623425
383,171784,23,5,1,M,Married,7,D,623.8842385
384,157566,60,39,1,F,Single,10,P,188.1206318
385,184178,21,2,1,M,Married,0,D,544.2032325
386,117590,19,0,1,M,Single,13,P,325.562891
387,103030,24,6,1,F,Married,12,P,182.8039805
388,137592,66,47,1,F,Single,12,P,155.5223241
389,175249,31,13,1,F,Single,5,D,502.7124322
390,146920,42,25,1,M,Single,14,P,262.9411765
391,199913,37,19,1,M,Married,10,P,324.1466938
392,177817,32,12,1,F,Married,9,P,312.2857892
393,176406,56,38,1,F,Single,12,P,205.9058749
394,118396,57,39,1,F,Single,11,P,367.8672027
395,179121,67,48,1,F,Married,14,P,165.6764223
396,172178,24,5,1,M,Married,14,P,451.8458055
397,127158,55,38,1,M,Married,6,P,354.9675474
398,150804,36,17,1,M,Married,9,P,375.07503
399,196933,17,0,1,M,Single,7,D,841.6097425
400,156935,23,4,1,M,Single,11,D,565.75928
401,187466,61,42,1,M,Married,12,P,341.8587982
402,145693,48,29,1,F,Single,10,P,407.1739205
403,161277,25,6,1,F,Single,12,D,559.1451267
404,117086,16,0,1,M,Married,12,D,547.4455297
405,103922,41,21,1,M,Single,15,P,169.8042272
406,195112,21,4,1,M,Married,4,D,1066.302464
407,192661,25,8,1,F,Married,14,P,250.8077066
408,159443,55,36,1,F,Married,14,P,188.8132454
409,178402,22,3,1,F,Single,14,D,567.0537545
410,157188,19,0,1,F,Married,0,P,345.0465518
411,120132,28,11,1,M,Married,11,P,315.3474326
412,106186,21,2,1,F,Single,13,D,656.1548087
413,196429,43,22,1,F,Married,0,P,461.9718465
414,143546,45,26,1,F,Single,7,P,377.9836825
415,190872,18,0,1,M,Single,9,D,684.6526982
416,112220,19,2,1,F,Married,11,P,144.4525566
417,119068,35,16,1,F,Single,10,P,401.6252338
418,173295,63,46,1,F,Single,3,P,253.4663373
419,173811,39,20,1,M,Married,15,P,144.4791732
420,158441,16,0,1,F,Single,11,P,227.3926774
421,139945,23,4,1,M,Married,6,D,643.5273912
422,126513,17,0,1,M,Married,6,P,324.5930853
423,157712,17,0,1,M,Married,11,P,167.9065824
424,123461,20,2,1,F,Married,12,P,164.3226813
425,109839,56,35,1,F,Single,13,P,286.5238132
426,168710,26,5,1,F,Married,7,P,278.9689585
427,180764,17,0,1,M,Married,13,D,545.648712
428,193331,53,34,1,M,Single,14,P,257.7397425
429,187957,31,10,1,M,Married,14,P,268.77102
430,101592,19,1,1,F,Married,12,P,387.2362217
431,122418,26,8,1,F,Single,3,D,666.6766088
432,159787,29,12,1,F,Single,12,P,363.980308
433,171517,47,28,1,M,Married,15,P,124.3721637
434,134430,24,5,1,M,Single,15,D,727.2299234
435,173346,18,1,1,F,Married,15,P,256.8966878
436,103987,68,50,1,M,Married,7,P,96.75876211
437,124801,18,0,1,F,Married,12,P,228.6247326
438,122734,67,49,1,F,Married,6,P,117.5752762
439,132167,70,53,1,M,Single,10,P,264.2712706
440,127432,28,11,1,M,Single,4,D,836.2796454
441,104075,69,51,1,M,Single,3,P,308.9019548
442,172126,28,9,1,M,Married,15,P,183.7265292
443,179575,63,45,1,M,Married,12,P,138.3989724
444,153354,25,8,1,F,Single,12,D,671.5230097
445,191744,55,38,1,F,Single,14,P,191.0414252
446,149303,25,6,1,F,Married,9,P,445.6656637
447,186838,57,38,1,F,Married,2,D,587.121065
448,128867,16,0,1,M,Married,12,P,201.2702657
449,186334,22,4,1,F,Single,10,P,484.2131818
450,137799,50,31,1,M,Married,10,P,360.8718623
451,138395,24,5,1,M,Married,13,P,268.9314723
452,176582,45,26,1,F,Single,10,P,383.44538
453,171589,49,29,1,F,Single,6,P,418.456828
454,155642,62,45,1,M,Married,14,P,124.498519
455,165502,16,0,1,M,Single,15,D,673.1939661
456,145115,50,33,1,F,Married,10,P,292.8056952
457,190056,43,23,1,M,Married,10,P,363.9739969
458,124975,17,0,1,M,Single,12,D,703.1834416
459,122527,19,1,1,M,Married,13,D,510.3590398
460,118246,65,47,1,F,Single,8,P,41.57656736
461,172805,17,0,1,M,Married,12,P,260.2345014
462,136848,38,21,1,F,Single,9,P,385.7485614
463,127328,48,28,1,F,Married,10,P,334.7612678
464,175335,46,25,1,M,Single,15,P,274.8857402
465,191160,25,8,1,F,Married,12,P,216.4240688
466,192099,31,14,1,M,Single,8,P,405.4731829
467,113488,44,27,1,M,Single,1,D,684.9800141
468,173817,41,20,1,F,Single,15,P,150.5320913
469,132277,17,0,1,F,Single,5,D,673.3517116
470,111157,29,9,1,F,Married,14,P,218.9770126
471,171107,32,14,1,F,Single,13,P,281.440499
472,123153,61,40,1,F,Married,1,P,146.0636593
473,159367,28,8,1,F,Single,1,D,809.1460715
474,154713,17,0,1,M,Single,11,D,1023.788951
475,110871,55,34,1,F,Single,9,P,475.6477521
476,183774,20,3,1,M,Married,13,P,412.3728753
477,165214,70,53,1,M,Married,0,P,156.7486616
478,166545,46,27,1,F,Married,15,P,283.6638328
479,122212,37,19,1,F,Married,1,P,360.7519195
480,163233,65,48,1,M,Married,7,P,239.2136809
481,113034,17,0,1,F,Single,12,P,234.8382168
482,148057,35,16,1,M,Single,9,D,522.5136507
483,159268,42,23,1,F,Married,7,P,291.6776414
484,188144,25,6,1,F,Married,9,P,224.8163937
485,161064,32,12,1,F,Married,0,P,419.5637371
486,120281,26,5,1,F,Single,6,P,395.6273655
487,185498,24,7,1,M,Single,14,D,648.4970615
488,187994,18,0,1,M,Single,12,P,389.7294061
489,124482,51,32,1,M,Single,13,P,235.7394144
490,112786,47,30,1,M,Single,15,P,155.9301797
491,136578,21,4,1,F,Single,10,D,772.0719204
492,104486,20,3,1,M,Single,12,D,738.7166747
493,144713,66,48,1,F,Single,3,P,476.4294007
494,189009,65,47,1,F,Single,6,P,47.27603743
495,185162,30,12,1,F,Married,8,P,308.5713815
496,174649,24,7,1,F,Single,8,D,614.8820182
497,169584,35,18,1,M,Married,11,P,280.7923877
498,110968,17,0,1,F,Single,0,D,659.2477512
499,121408,41,22,1,F,Married,8,P,312.7213527
500,124458,41,24,1,F,Married,7,P,337.6700037
501,160770,39,22,1,F,Single,14,P,272.2594633
502,110330,16,0,1,M,Married,14,P,443.3265557
503,100128,41,20,1,F,Married,14,P,136.4526367
504,139445,28,9,1,M,Married,2,D,668.780303
505,157704,66,45,1,M,Married,9,P,36.63901131
506,177554,23,4,1,M,Married,14,D,694.5794472
507,127371,64,45,1,F,Married,1,P,318.332047
508,196535,66,47,1,M,Single,8,P,229.6906948
509,127572,25,7,1,M,Single,9,D,983.6492536
510,136937,29,11,1,M,Single,0,D,675.7091855
511,139753,64,47,1,F,Single,11,P,110.6599318
512,108007,22,5,1,F,Single,14,P,447.3969202
513,156815,69,51,1,M,Single,4,P,228.5962068
514,165686,24,5,1,F,Married,14,P,441.8763829
515,108319,18,1,1,F,Single,10,D,698.2797078
516,139548,69,48,1,M,Single,7,P,235.8586141
517,163531,19,2,1,F,Married,15,P,294.094824
518,175274,70,51,1,M,Married,2,P,345.2723201
519,106139,38,21,1,F,Single,0,D,837.4720719
520,102284,44,25,1,F,Single,11,P,340.3533667
521,139062,64,44,1,F,Single,9,P,292.0086982
522,138558,43,25,1,M,Married,7,P,398.6963317
523,113232,18,0,1,M,Single,13,D,810.3321729
524,138682,55,38,1,M,Married,6,P,356.072465
525,108361,35,17,1,F,Single,11,P,376.4717043
526,175469,70,52,1,M,Married,15,P,162.5111147
527,113056,22,5,1,F,Married,7,P,391.2488532
528,120187,26,7,1,F,Married,6,P,283.7506272
529,160257,27,7,1,M,Married,9,P,346.3474987
530,114349,32,15,1,F,Single,10,P,402.3212675
531,106020,25,7,1,M,Married,1,D,776.9765728
532,132596,55,35,1,M,Married,1,D,644.72313
533,181345,23,6,1,F,Single,13,P,385.8799478
534,189925,52,33,1,M,Married,9,P,321.4892996
535,179055,53,35,1,M,Single,7,P,435.959851
536,166104,32,11,1,F,Married,9,P,303.1333791
